Tweets,Sentiment
best pa listening intelligent going surprise everyone,1
said election soul nation right,1
news well know living la la land doesnt even know half time,-1
dark depressing racist man done climate change economy,-1
fringe right full frantic mode campaign flat,1
giant group ex president,0
wont make pledge debt free college pa agenda cant believe,1
besides controversy surrounding latter felt,0
agree every self respecting freedom equality h,0
world ugh wait put touch next spring,0
would lot better could first thing tomorrow morning,1
right golf ca,1
ice wo millions telling us citizen vote vote,0
oh hell yes near s little island tho right pick,1
one tell black people hoe,-1
reverse day,0
accused politician speech,0
black voter doesnt nothing change via,-1
election repudiation,0
account reluctancy admit status society due race economic status,1
think especially lie god fact check q,0
husband wow,1
prepared accept nomination president furious took twitter,0
first lady restore former glory everything s touch becomes,1
thanks clarification really hope campaign works next days ar,1
back russia russia russia well china win bring,1
realize many people voting dont even yard put sign,1
neither pa going breakdown expect happen elect elect,1
would would seeing president v,0
shock video call ers attack year old boy outside convention wearing red,1
mean potato closed saying,-1
going fix literally everything right garden,1
pa become megaphone pa harr,0
dark depressing racist man done climate change economy,-1
bar set low condemning guess bar set low,0
walker race card violence,0
false constantly,-1
speech life becomes man moment,0
pond scum typical,-1
sad hear veteran say president build military,-1
mark kelly radical socialist agenda kelly space,0
bit plain nice suspect incoming s make,1
voting electoral college state,0
ant dislike dislike opposite group vie,0
love plan student debt said would forgive student debt,1
well could say least one good thing life,1
say even took removing fossil platform,0
woman clearly zero taste anything look married hopefully restore,1
plan good see people know,1
let comb nasty,-1
drove around red area saw one sign hope,0
thats case,0
might impact disgusted though oh loo,-1
loaded term consumer social,1
levin obviously furious would appropriate project,1
saying know stop virus telling x,0
didnt anything help crisis post office ask quiet,0
thing climate change money pit need keep full like,1
sure likewise hold accountable,1
sit shut sit back room dan al gore pol,0
deceptive ballot language impact backed tax hike woe,0
satan choose,0
realize like crap ruined right,-1
least read,-1
dark depressing racist man done climate change economy,-1
doubt able address pu,1
pathetic human one anyone feel sorry,-1
master plan gaslighting via,0
canada appropriate tales crypt channeling rabidly left wing,1
sure bust voter try,1
debate know voting curious anything,-1
yeah wasnt may well actually fairly,1
sec rodham someone ge via,-1
one great getting billion cash steady income,1
tammy media mob speech eh via,0
forgot look like,0
well true also always stupid enough,-1
rep target s record prime time convention speech,0
coarse crude vulgar vicious hate mongering thieving,-1
low bar go back via,0
maybe use platform promote like instead calling,0
even sure wasted money everywhere michigan h,1
saying another bad also headache well,-1
disturbing mere choice venue blatant disregard rule law case,-1
ally light,1
thank student loan debt country,0
s breathed collective sigh relief week pa,0
told us shut,0
group ground ground war yeah go,0
true guarantee er planet would,1
chip elect s ballot,1
police ask,0
breaking news president bush prime time,0
contribution meter front page last night coming,0
going feeling,0
watched entire found truthful enthusiastic hope,1
whites like say word answer never without,0
sure well learning,1
pence would throw wrench strategy ing,0
along untouchable happening people need realize,0
dont worry boy get another big bounce,0
say around,0
watch hate give much us dont believe model works,-1
admit senile th,0
son man thou midst rebellious house see see,0
able address put effective place mi,1
former national security endorse president,0
imagine wanting shag granddaughter,0
s fearsome weapon simple decency,0
somewhere twitter someone going like crazy person follow said knew,-1
